ItemID	ItemName	ItemViewURL	PictureURL	Category	CategoryID	Decription	SKU	StartDate	EndDate	Price	Length	Width	Height	WeightUnit	
	Falcon o2 Sensor 4 wire - Oxygen Sensor Sedan Ute and Wagon 	http://www.ebay.com.au/itm/Falcon-o2-Sensor-4-wire-Oxygen-Sensor-Sedan-Ute-and-Wagon-/201005031199	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/QpAAAOxy4dNSrlfE/$_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Air Intake, Fuel Delivery:Sensors	33557		o2-0258986603	16-Dec-2013	16-Mar-2014	0.00	13	10	5	Kgs	
	Ford Explorer o2 Sensor 4 wire - Oxygen Sensor Sedan Ute and Wagon 	http://www.ebay.com.au/itm/Ford-Explorer-o2-Sensor-4-wire-Oxygen-Sensor-Sedan-Ute-and-Wagon-/201005041787	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/QpAAAOxy4dNSrlfE/$_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Air Intake, Fuel Delivery:Sensors	33557		o2-0258986603	16-Dec-2013	16-Mar-2014	0.00	13	10	5	Kgs	
	Ford Fairlane o2 Sensor 4 wire - Oxygen Sensor Sedan	http://www.ebay.com.au/itm/Ford-Fairlane-o2-Sensor-4-wire-Oxygen-Sensor-Sedan-/191004680124	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/QpAAAOxy4dNSrlfE/$_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Air Intake, Fuel Delivery:Sensors	33557		o2-0258986603	16-Dec-2013	16-Mar-2014	0.00	13	10	5	Kgs	
	Ford Cougar o2 Sensor 4 wire - Oxygen Sensor Coupe	http://www.ebay.com.au/itm/Ford-Cougar-o2-Sensor-4-wire-Oxygen-Sensor-Coupe-/201005121341	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/QpAAAOxy4dNSrlfE/$_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Air Intake, Fuel Delivery:Sensors	33557		o2-0258986603	16-Dec-2013	16-Mar-2014	0.00	13	10	5	Kgs	
	GAS STRUT / SPRING CONNECTORS 6mm THREAD - 10mm BALL SOCKET ( x 2 )	http://www.ebay.com.au/itm/GAS-STRUT-SPRING-CONNECTORS-6mm-THREAD-10mm-BALL-SOCKET-x-2-/200989119035	http://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/AxwAAOxyLN9SiB6R/$_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Other	6763		PLASTIC BALLSOCK FEM 6mm	17-Nov-2013	17-Mar-2014	0.00	10	10	1	Kgs	
	GAS STRUT / SPRING CONNECTORS 6mm FEMALE THREAD - 10mm BALL SOCKET ( x 2 )	http://www.ebay.com.au/itm/GAS-STRUT-SPRING-CONNECTORS-6mm-FEMALE-THREAD-10mm-BALL-SOCKET-x-2-/200989701562	http://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/lIoAAOxyzi9SibaQ/$_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Other	6763		BALLSOCK 6mm	18-Nov-2013	18-Mar-2014	0.00				Kgs	
	GAS STRUT / SPRING CONNECTORS 8mm FEMALE THREAD - 10mm BALL SOCKET ( x 2 )	http://www.ebay.com.au/itm/GAS-STRUT-SPRING-CONNECTORS-8mm-FEMALE-THREAD-10mm-BALL-SOCKET-x-2-/190974282216	http://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/SA0AAMXQUmFSibfL/$_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Other	6763		BALLSOCK 8mm	18-Nov-2013	18-Mar-2014	0.00				Kgs	
	TOYOTA - LANDCRUISER 100 SERIES BONNET GAS STRUTS "NEW PAIR" - 2 YEAR WARRANTY	http://www.ebay.com.au/itm/TOYOTA-LANDCRUISER-100-SERIES-BONNET-GAS-STRUTS-NEW-PAIR-2-YEAR-WARRANTY-/200977917973	http://i.ebayimg.com/00/s/NzUwWDEwMDA=/z/kpMAAOxyA9dSZPt-/$T2eC16Z,!zYFIcF9m+ykBSZPt-MICw~~60_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Other	6763		114361	21-Oct-2013	20-Mar-2014	0.00				Kgs	
	TOYOTA LANDCRUISER 100 SERIES BONNET + TAILGATE GAS STRUTS KIT (2 x NEW PAIR)	http://www.ebay.com.au/itm/TOYOTA-LANDCRUISER-100-SERIES-BONNET-TAILGATE-GAS-STRUTS-KIT-2-x-NEW-PAIR-/200977926324	http://i.ebayimg.com/00/s/NzUwWDEwMDA=/z/GcgAAOxyA7tSZa~s/$T2eC16JHJHMFH!dspzvmBSZ,+rhtJ!~~60_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Other	6763		114361+4362	21-Oct-2013	20-Mar-2014	0.00				Kgs	
	HOLDEN COMMODORE GAS BONNET+TAILGATE WAGON STRUTS-VT VX VU VY VZ (2 x NEW PAIR)	http://www.ebay.com.au/itm/HOLDEN-COMMODORE-GAS-BONNET-TAILGATE-WAGON-STRUTS-VT-VX-VU-VY-VZ-2-x-NEW-PAIR-/190939192795	http://i.ebayimg.com/00/s/NzUwWDEwMDA=/z/32oAAOxyWt5SZbdm/$T2eC16ZHJHcFFkPEV3S+BSZbdkk96w~~60_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Other	6763		114097+4583	21-Oct-2013	20-Mar-2014	0.00				Kgs	
